y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
DUMMY_MIN,0,0,0,0,0
DUMMY_MAX,1023,100,1023,1,1023
2010-8-15_0:10,309,42,52,0,405
2010-8-15_0:25,308,42,53,0,399
2010-8-15_0:40,307,42,53,0,405
2010-8-15_0:55,305,42,52,0,405
2010-8-15_1:10,305,42,52,0,404
2010-8-15_1:25,304,42,52,0,406
2010-8-15_1:40,303,41,52,0,404
2010-8-15_1:55,301,42,52,0,406
2010-8-15_2:10,302,41,52,0,403
2010-8-15_2:25,303,41,52,0,402
2010-8-15_2:40,301,41,52,0,405
2010-8-15_2:55,299,42,53,0,400
2010-8-15_3:10,301,41,52,0,399
2010-8-15_3:25,298,41,52,0,399
2010-8-15_3:40,296,41,52,0,401
2010-8-15_3:55,297,41,52,0,401
2010-8-15_4:10,294,41,52,0,401
2010-8-15_4:25,291,41,52,0,399
2010-8-15_4:40,291,41,52,0,399
2010-8-15_4:55,289,41,52,0,399
2010-8-15_5:10,290,41,53,0,397
2010-8-15_5:25,289,41,52,0,399
2010-8-15_5:40,288,41,53,0,399
2010-8-15_5:55,288,41,60,0,400
2010-8-15_6:10,291,41,90,0,399
2010-8-15_6:25,287,40,148,0,358
2010-8-15_6:40,286,41,233,0,352
2010-8-15_6:55,286,41,248,0,354
2010-8-15_7:10,286,41,386,0,349
2010-8-15_7:25,285,41,476,0,360
2010-8-15_7:40,285,41,459,0,366
2010-8-15_7:55,284,41,444,0,364
2010-8-15_8:10,285,42,534,0,357
2010-8-15_8:25,285,40,573,0,339
2010-8-15_8:40,286,41,636,0,356
2010-8-15_8:55,285,41,603,0,358
2010-8-15_9:10,285,41,623,0,354
2010-8-15_9:25,284,42,706,0,358
2010-8-15_9:40,284,41,809,0,356
2010-8-15_9:55,285,42,784,0,349
2010-8-15_10:10,285,42,737,0,343
2010-8-15_10:25,285,43,781,0,346
2010-8-15_10:40,284,42,776,0,354
